user_id,date,sessions,pages_visited,time_spent,churn_flag
user_67,2025-12-01,1,2,247,0
user_276,2025-12-01,4,9,128,0
user_68,2025-12-01,1,3,91,1
user_319,2025-12-01,2,9,358,0
user_549,2025-12-01,2,9,224,1
user_1000,2025-12-01,3,2,153,0
user_716,2025-12-01,0,5,205,0
user_755,2025-12-01,0,5,143,0
user_328,2025-12-01,1,3,597,0
user_383,2025-12-01,2,8,176,0
user_452,2025-12-01,0,9,392,0
user_523,2025-12-01,1,6,36,0
user_219,2025-12-01,3,5,580,0
user_789,2025-12-01,2,7,253,0
user_437,2025-12-01,0,9,46,0
user_635,2025-12-01,1,3,355,0
user_89,2025-12-01,0,9,253,0
user_64,2025-12-01,1,5,307,0
user_828,2025-12-01,1,1,553,0
user_718,2025-12-01,1,8,239,0
user_352,2025-12-01,3,7,58,0
user_602,2025-12-01,0,3,488,0
user_257,2025-12-01,1,4,128,0
user_637,2025-12-01,0,7,186,0
user_800,2025-12-01,2,3,411,0
user_555,2025-12-01,2,4,482,1
user_961,2025-12-01,1,2,192,0
user_169,2025-12-01,1,8,89,0
user_873,2025-12-01,4,3,378,0
user_529,2025-12-01,0,3,587,0
user_763,2025-12-01,0,7,302,0
user_987,2025-12-01,0,9,530,0
user_818,2025-12-01,1,1,101,0
user_87,2025-12-01,1,6,573,0
user_433,2025-12-01,4,9,430,0
user_185,2025-12-01,1,6,115,0
user_980,2025-12-01,0,8,271,0
user_535,2025-12-01,1,1,145,0
user_295,2025-12-01,0,6,119,0
user_843,2025-12-01,1,7,457,0
user_426,2025-12-01,2,6,102,0
user_715,2025-12-01,2,2,347,0
user_261,2025-12-01,1,4,237,0
user_238,2025-12-01,2,9,43,0
user_560,2025-12-01,0,7,553,0
user_585,2025-12-01,1,7,385,0
user_446,2025-12-01,2,2,578,1
user_869,2025-12-01,2,3,474,0
user_802,2025-12-01,0,1,361,0
user_938,2025-12-01,2,5,545,0
user_851,2025-12-01,2,3,449,0
user_266,2025-12-01,1,2,324,0
user_997,2025-12-01,2,2,581,0
user_530,2025-12-01,0,8,129,1
user_56,2025-12-01,0,2,404,0
user_121,2025-12-01,0,9,347,0
user_216,2025-12-01,1,7,113,0
user_26,2025-12-01,0,9,57,0
user_73,2025-12-01,1,8,489,0
user_45,2025-12-01,2,3,299,0
user_248,2025-12-01,1,9,286,0
user_723,2025-12-01,2,6,313,0
user_282,2025-12-01,2,1,585,0
user_895,2025-12-01,2,4,363,0
user_916,2025-12-01,2,7,64,0
user_812,2025-12-01,1,1,235,0
user_245,2025-12-01,1,2,246,0
user_576,2025-12-01,2,2,457,0
user_322,2025-12-01,0,4,365,1
user_645,2025-12-01,1,5,158,0
user_159,2025-12-01,0,6,546,1
user_771,2025-12-01,0,1,340,1
user_430,2025-12-01,1,2,174,0
user_943,2025-12-01,2,9,30,0
user_463,2025-12-01,1,5,390,0
user_310,2025-12-01,2,9,190,0
user_750,2025-12-01,3,4,410,0
user_61,2025-12-01,2,9,308,0
user_765,2025-12-01,1,6,484,0
user_597,2025-12-01,0,7,172,0
user_665,2025-12-01,1,1,526,0
user_651,2025-12-01,0,3,32,0
user_689,2025-12-01,4,5,333,0
user_594,2025-12-01,1,7,355,0
user_670,2025-12-01,2,7,365,0
user_299,2025-12-01,1,3,353,0
user_825,2025-12-01,0,2,363,0
user_315,2025-12-01,0,4,523,0
user_311,2025-12-01,2,4,31,0
user_362,2025-12-01,1,7,380,0
user_480,2025-12-01,1,8,270,0
user_111,2025-12-01,0,4,113,0
user_991,2025-12-01,2,7,147,0
user_487,2025-12-01,2,8,407,0
user_364,2025-12-01,3,4,79,0
user_255,2025-12-01,3,1,468,0
user_260,2025-12-01,0,3,137,1
user_579,2025-12-01,0,1,461,0
user_679,2025-12-01,0,7,189,0
user_495,2025-12-01,0,9,283,0
user_626,2025-12-01,0,7,583,0
user_378,2025-12-01,3,3,247,0
user_527,2025-12-01,2,5,382,0
user_729,2025-12-01,1,6,454,0
user_138,2025-12-01,2,5,259,0
user_356,2025-12-01,1,3,371,0
user_366,2025-12-01,2,2,500,0
user_919,2025-12-01,0,4,482,0
user_751,2025-12-01,1,9,84,0
user_950,2025-12-01,0,8,544,1
user_799,2025-12-01,0,3,133,0
user_581,2025-12-01,2,5,113,0
user_200,2025-12-01,0,7,190,0
user_214,2025-12-01,1,4,510,0
user_409,2025-12-01,0,9,370,0
user_333,2025-12-01,0,1,209,0
user_209,2025-12-01,2,6,172,1
user_993,2025-12-01,1,1,71,0
user_79,2025-12-01,2,6,96,0
user_30,2025-12-01,0,9,428,0
user_536,2025-12-01,0,2,495,1
user_697,2025-12-01,2,6,318,0
user_558,2025-12-01,1,6,267,0
user_644,2025-12-01,1,9,146,0
user_598,2025-12-01,1,4,202,0
user_166,2025-12-01,2,4,476,0
user_920,2025-12-01,0,2,89,0
user_496,2025-12-01,1,2,374,0
user_826,2025-12-01,1,8,492,1
user_66,2025-12-01,0,3,178,0
user_142,2025-12-01,0,3,292,0
user_927,2025-12-01,0,4,581,0
user_829,2025-12-01,1,4,449,0
user_657,2025-12-01,1,4,512,0
user_332,2025-12-01,1,5,539,0
user_666,2025-12-01,0,5,275,0
user_250,2025-12-01,2,5,94,0
user_909,2025-12-01,2,5,202,0
user_945,2025-12-01,1,5,337,0
user_306,2025-12-01,0,4,575,0
user_731,2025-12-01,1,9,465,0
user_977,2025-12-01,2,1,149,0
user_50,2025-12-01,1,1,39,0
user_847,2025-12-01,0,8,313,0
user_3,2025-12-01,3,7,202,0
user_545,2025-12-01,2,8,534,0
user_351,2025-12-01,2,1,177,0
user_906,2025-12-01,0,4,465,0
user_537,2025-12-01,1,5,379,0
user_345,2025-12-01,0,6,397,1
user_996,2025-12-01,0,8,358,0
user_482,2025-12-01,0,1,411,0
user_577,2025-12-01,0,9,407,0
user_34,2025-12-01,1,4,517,0
user_32,2025-12-01,2,2,552,0
user_232,2025-12-01,0,2,212,0
user_815,2025-12-01,1,9,443,0
user_193,2025-12-01,1,1,151,0
user_334,2025-12-01,3,5,331,0
user_4,2025-12-01,2,6,264,0
user_205,2025-12-01,2,5,492,0
user_515,2025-12-01,2,6,450,0
user_824,2025-12-01,1,3,52,0
user_307,2025-12-01,3,8,158,0
user_110,2025-12-01,1,3,253,0
user_431,2025-12-01,1,5,331,0
user_78,2025-12-01,0,9,141,0
user_85,2025-12-01,1,6,41,0
user_287,2025-12-01,0,2,466,0
user_83,2025-12-01,0,3,99,1
user_616,2025-12-01,1,4,49,0
user_791,2025-12-01,0,5,498,0
user_747,2025-12-01,0,6,217,0
user_399,2025-12-01,0,7,545,0
user_324,2025-12-01,1,7,529,0
user_520,2025-12-01,2,3,348,0
user_918,2025-12-01,0,6,146,0
user_934,2025-12-01,1,4,379,0
user_6,2025-12-01,1,4,142,0
user_733,2025-12-01,4,4,76,0
user_466,2025-12-01,1,7,166,1
user_98,2025-12-01,0,4,167,0
user_267,2025-12-01,0,1,283,0
user_358,2025-12-01,3,3,331,0
user_870,2025-12-01,1,4,78,0
user_944,2025-12-01,3,7,342,0
user_381,2025-12-01,0,9,572,1
user_972,2025-12-01,1,8,443,0
user_382,2025-12-01,0,7,249,0
user_491,2025-12-01,1,9,234,0
user_119,2025-12-01,0,4,279,0
user_817,2025-12-01,0,2,548,0
user_251,2025-12-01,0,8,232,1
user_524,2025-12-01,2,8,171,0
user_10,2025-12-01,1,3,334,0
user_197,2025-12-01,2,9,190,0
user_605,2025-12-01,0,9,356,0
user_82,2025-12-01,2,9,452,0
user_785,2025-12-01,1,6,546,0
user_589,2025-12-01,2,3,115,0
user_621,2025-12-01,1,3,272,0
user_240,2025-12-01,0,7,306,0
user_291,2025-12-01,0,4,243,0
user_212,2025-12-01,0,6,410,0
user_719,2025-12-01,2,9,283,0
user_360,2025-12-01,0,4,256,0
user_450,2025-12-01,2,3,336,0
user_228,2025-12-01,0,8,537,0
user_858,2025-12-01,1,7,588,0
user_948,2025-12-01,2,6,297,0
user_798,2025-12-01,1,2,69,0
user_502,2025-12-01,1,8,289,0
user_465,2025-12-01,2,7,45,1
user_363,2025-12-01,1,2,289,1
user_469,2025-12-01,2,5,566,0
user_937,2025-12-01,0,4,411,0
user_429,2025-12-01,1,9,401,0
user_8,2025-12-01,0,9,424,1
user_156,2025-12-01,1,8,255,0
user_542,2025-12-01,2,8,247,0
user_441,2025-12-01,0,4,575,0
user_483,2025-12-01,1,9,308,0
user_423,2025-12-01,0,5,318,0
user_853,2025-12-01,1,8,277,0
user_951,2025-12-01,0,9,153,1
user_335,2025-12-01,0,3,545,1
user_804,2025-12-01,0,5,256,0
user_936,2025-12-01,1,4,489,0
user_568,2025-12-01,1,2,144,0
user_596,2025-12-01,2,8,587,0
user_531,2025-12-01,2,4,310,0
user_583,2025-12-01,0,6,112,1
user_709,2025-12-01,4,9,404,0
user_449,2025-12-01,1,8,466,0
user_454,2025-12-01,0,9,349,0
user_229,2025-12-01,0,5,363,0
user_353,2025-12-01,0,4,543,0
user_744,2025-12-01,2,7,45,0
user_213,2025-12-01,1,3,523,0
user_80,2025-12-01,1,4,230,0
user_149,2025-12-01,3,7,460,0
user_303,2025-12-01,2,3,55,0
user_630,2025-12-01,0,5,579,0
user_779,2025-12-01,1,7,377,0
user_507,2025-12-01,1,6,521,1
user_343,2025-12-01,2,7,291,0
user_486,2025-12-01,0,6,312,0
user_661,2025-12-01,0,1,470,0
user_134,2025-12-01,1,3,461,0
user_705,2025-12-01,0,6,78,0
user_312,2025-12-01,0,4,370,0
user_766,2025-12-01,0,6,411,0
user_631,2025-12-01,1,1,212,0
user_1,2025-12-01,1,3,362,0
user_317,2025-12-01,0,8,48,0
user_708,2025-12-01,3,7,279,0
user_548,2025-12-01,1,7,353,0
user_874,2025-12-01,1,3,441,0
user_533,2025-12-01,1,3,70,0
user_478,2025-12-01,2,2,592,0
user_405,2025-12-01,3,2,416,0
user_173,2025-12-01,0,1,297,0
user_126,2025-12-01,1,5,242,0
user_395,2025-12-01,0,9,308,0
user_421,2025-12-01,0,5,467,1
user_553,2025-12-01,1,9,59,0
user_905,2025-12-01,4,8,104,0
user_91,2025-12-01,1,4,409,0
user_941,2025-12-01,1,5,36,0
user_182,2025-12-01,1,4,231,0
user_275,2025-12-01,1,1,354,0
user_897,2025-12-01,2,4,463,0
user_70,2025-12-01,0,3,104,0
user_292,2025-12-01,0,6,392,0
user_132,2025-12-01,0,2,291,0
user_301,2025-12-01,1,5,151,0
user_425,2025-12-01,1,7,230,1
user_327,2025-12-01,0,4,138,1
user_145,2025-12-01,2,2,394,0
user_424,2025-12-01,1,2,445,0
user_582,2025-12-01,0,5,412,0
user_136,2025-12-01,2,8,512,0
user_451,2025-12-01,1,1,128,0
user_165,2025-12-01,1,3,194,0
user_29,2025-12-01,0,5,193,1
user_910,2025-12-01,0,5,296,0
user_194,2025-12-01,1,6,424,0
user_389,2025-12-01,0,8,49,0
user_639,2025-12-01,0,6,558,1
user_170,2025-12-01,1,4,257,0
user_707,2025-12-01,0,8,436,0
user_141,2025-12-01,1,2,494,0
user_174,2025-12-01,2,4,394,0
user_7,2025-12-01,1,1,366,0
user_838,2025-12-01,1,6,352,0
user_479,2025-12-01,1,7,143,0
user_74,2025-12-01,2,5,233,0
user_685,2025-12-01,0,8,315,1
user_957,2025-12-01,0,3,399,0
user_239,2025-12-01,1,7,94,0
user_146,2025-12-01,1,8,217,0
user_794,2025-12-01,3,9,413,0
user_235,2025-12-01,0,3,217,0
user_221,2025-12-01,1,3,152,0
user_925,2025-12-01,1,2,409,0
user_501,2025-12-01,0,2,503,0
user_133,2025-12-01,0,2,324,0
user_992,2025-12-01,0,8,596,1
user_924,2025-12-01,0,5,350,0
user_186,2025-12-01,0,5,432,0
user_42,2025-12-01,1,1,212,0
user_612,2025-12-01,1,8,595,0
user_109,2025-12-01,1,4,82,0
user_590,2025-12-01,1,7,495,0
user_57,2025-12-01,0,2,383,0
user_406,2025-12-01,0,1,470,0
user_443,2025-12-01,1,6,323,0
user_759,2025-12-01,1,6,354,0
user_862,2025-12-01,0,9,166,0
user_25,2025-12-01,0,4,170,0
user_468,2025-12-01,1,3,450,0
user_540,2025-12-01,0,1,204,0
user_532,2025-12-01,3,1,481,0
user_797,2025-12-01,0,5,322,0
user_696,2025-12-01,0,7,569,1
user_928,2025-12-01,1,3,265,0
user_339,2025-12-01,1,5,426,0
user_52,2025-12-01,1,6,488,0
user_508,2025-12-01,3,9,292,0
user_517,2025-12-01,2,8,467,0
user_922,2025-12-01,0,3,554,0
user_634,2025-12-01,0,5,73,0
user_265,2025-12-01,1,6,427,0
user_588,2025-12-01,1,1,211,0
user_712,2025-12-01,2,6,148,0
user_737,2025-12-01,3,5,204,0
user_834,2025-12-01,0,6,420,0
user_519,2025-12-01,0,1,84,0
user_448,2025-12-01,0,5,513,0
user_19,2025-12-01,2,8,254,0
user_717,2025-12-01,0,6,88,0
user_484,2025-12-01,0,9,186,0
user_569,2025-12-01,1,7,247,0
user_434,2025-12-01,1,8,463,0
user_368,2025-12-01,2,7,391,0
user_84,2025-12-01,1,3,296,1
user_62,2025-12-01,2,1,78,0
user_650,2025-12-01,0,6,598,1
user_273,2025-12-01,1,1,34,0
user_286,2025-12-01,0,8,595,0
user_361,2025-12-01,0,2,44,0
user_355,2025-12-01,5,3,547,0
user_457,2025-12-01,0,1,360,0
user_279,2025-12-01,1,6,301,0
user_13,2025-12-01,1,9,361,0
user_183,2025-12-01,1,7,183,0
user_369,2025-12-01,2,1,274,1
user_883,2025-12-01,2,4,524,0
user_617,2025-12-01,1,4,122,0
user_224,2025-12-01,0,4,541,0
user_801,2025-12-01,1,8,351,0
user_995,2025-12-01,1,9,378,0
user_814,2025-12-01,1,9,467,0
user_546,2025-12-01,2,7,433,0
user_584,2025-12-01,3,2,145,0
user_724,2025-12-01,1,1,143,0
user_177,2025-12-01,2,9,134,0
user_667,2025-12-01,1,8,285,0
user_629,2025-12-01,1,3,432,0
user_865,2025-12-01,2,5,434,0
user_875,2025-12-01,3,8,582,0
user_394,2025-12-01,1,9,504,0
user_164,2025-12-01,2,8,312,0
user_249,2025-12-01,0,2,565,0
user_636,2025-12-01,2,5,277,0
user_887,2025-12-01,1,5,538,0
user_671,2025-12-01,1,8,420,0
user_376,2025-12-01,0,4,544,1
user_413,2025-12-01,0,4,67,0
user_75,2025-12-01,1,7,335,0
user_114,2025-12-01,1,3,235,0
user_571,2025-12-01,0,6,580,0
user_963,2025-12-01,2,7,231,0
user_391,2025-12-01,0,9,509,0
user_105,2025-12-01,0,4,589,0
user_115,2025-12-01,2,1,220,0
user_418,2025-12-01,1,8,223,0
user_526,2025-12-01,1,1,436,0
user_458,2025-12-01,1,2,506,0
user_410,2025-12-01,0,4,337,0
user_93,2025-12-01,0,1,105,0
user_932,2025-12-01,1,1,503,0
user_90,2025-12-01,2,3,72,0
user_337,2025-12-01,0,1,299,0
user_990,2025-12-01,0,8,344,0
user_923,2025-12-01,2,5,222,0
user_935,2025-12-01,1,3,584,0
user_698,2025-12-01,0,4,457,0
user_595,2025-12-01,3,8,404,0
user_753,2025-12-01,2,8,153,0
user_95,2025-12-01,0,5,360,0
user_12,2025-12-01,2,5,147,0
user_397,2025-12-01,0,2,518,0
user_534,2025-12-01,0,2,588,0
user_44,2025-12-01,3,7,432,0
user_43,2025-12-01,2,9,598,0
user_330,2025-12-01,2,5,441,0
user_168,2025-12-01,2,1,233,0
user_498,2025-12-01,1,3,237,0
user_878,2025-12-01,2,7,324,0
user_599,2025-12-01,1,9,177,0
user_758,2025-12-01,2,2,163,0
user_101,2025-12-01,2,9,472,0
user_427,2025-12-01,3,5,108,0
user_179,2025-12-01,1,8,443,0
user_445,2025-12-01,1,4,36,0
user_417,2025-12-01,2,6,205,0
user_775,2025-12-01,2,4,536,0
user_884,2025-12-01,3,3,277,0
user_713,2025-12-01,1,2,241,0
user_178,2025-12-01,2,4,76,0
user_396,2025-12-01,0,5,328,0
user_678,2025-12-01,0,2,343,0
user_831,2025-12-01,1,7,367,0
user_962,2025-12-01,3,6,523,0
user_686,2025-12-01,2,1,578,0
user_384,2025-12-01,1,6,449,0
user_958,2025-12-01,0,2,92,0
user_614,2025-12-01,1,4,243,0
user_258,2025-12-01,0,6,117,1
user_539,2025-12-01,0,7,32,0
user_336,2025-12-01,1,6,370,0
user_16,2025-12-01,0,5,271,1
user_325,2025-12-01,2,5,158,0
user_760,2025-12-01,0,8,564,0
user_223,2025-12-01,1,8,182,0
user_180,2025-12-01,0,7,418,0
user_985,2025-12-01,0,7,126,0
user_23,2025-12-01,1,3,68,0
user_357,2025-12-01,4,9,486,0
user_668,2025-12-01,1,4,524,0
user_903,2025-12-01,1,5,479,0
user_341,2025-12-01,1,6,318,0
user_432,2025-12-01,1,3,144,0
user_552,2025-12-01,1,7,276,0
user_835,2025-12-01,0,6,411,1
user_204,2025-12-01,1,1,510,0
user_632,2025-12-01,2,2,383,0
user_94,2025-12-01,2,1,274,0
user_559,2025-12-01,0,8,311,0
user_69,2025-12-01,0,1,480,0
user_694,2025-12-01,1,1,558,0
user_285,2025-12-01,1,5,445,0
user_975,2025-12-01,3,9,365,0
user_435,2025-12-01,0,6,228,0
user_154,2025-12-01,0,2,458,0
user_76,2025-12-01,0,9,261,0
user_732,2025-12-01,0,2,563,0
user_447,2025-12-01,0,8,321,0
user_189,2025-12-01,2,6,364,0
user_272,2025-12-01,1,3,32,0
user_237,2025-12-01,1,4,536,0
user_488,2025-12-01,0,2,91,0
user_118,2025-12-01,1,2,346,0
user_820,2025-12-01,0,4,165,0
user_513,2025-12-01,1,7,509,0
user_827,2025-12-01,0,5,240,0
user_867,2025-12-01,1,9,249,0
user_127,2025-12-01,0,7,519,0
user_117,2025-12-01,1,6,557,0
user_474,2025-12-01,0,8,266,0
user_695,2025-12-01,2,1,543,0
user_58,2025-12-01,1,1,413,0
user_676,2025-12-01,1,3,251,0
user_914,2025-12-01,2,4,466,0
user_370,2025-12-01,2,4,369,0
user_269,2025-12-01,1,6,99,0
user_47,2025-12-01,4,9,85,0
user_350,2025-12-01,2,6,287,0
user_196,2025-12-01,6,3,394,0
user_103,2025-12-01,1,1,488,0
user_836,2025-12-01,2,5,195,0
user_738,2025-12-01,2,7,236,0
user_264,2025-12-01,0,3,237,0
user_444,2025-12-01,1,4,570,0
user_999,2025-12-01,1,9,305,0
user_305,2025-12-01,1,2,569,0
user_342,2025-12-01,0,3,591,0
user_600,2025-12-01,2,2,184,0
user_968,2025-12-01,1,5,372,0
user_150,2025-12-01,2,3,93,0
user_125,2025-12-01,1,6,122,0
user_788,2025-12-01,0,2,141,0
user_51,2025-12-01,0,8,147,0
user_354,2025-12-01,4,1,467,0
user_929,2025-12-01,1,6,37,0
user_143,2025-12-01,0,1,369,1
user_471,2025-12-01,2,8,184,0
user_400,2025-12-01,0,9,208,0
user_627,2025-12-01,3,5,395,0
user_321,2025-12-01,0,7,297,0
user_20,2025-12-01,2,2,100,0
user_811,2025-12-01,0,4,79,0
user_888,2025-12-01,0,4,514,0
user_810,2025-12-01,1,8,325,0
user_408,2025-12-01,0,8,122,0
user_538,2025-12-01,0,7,569,0
user_622,2025-12-01,1,5,115,0
user_39,2025-12-01,1,8,405,0
user_176,2025-12-01,1,5,221,0
user_246,2025-12-01,1,3,141,0
user_830,2025-12-01,3,7,135,0
user_669,2025-12-01,0,6,118,0
user_756,2025-12-01,3,7,554,1
user_860,2025-12-01,1,5,111,0
user_155,2025-12-01,1,6,240,0
user_288,2025-12-01,0,2,468,0
user_604,2025-12-01,1,8,258,0
user_570,2025-12-01,2,6,161,1
user_781,2025-12-01,2,6,149,0
user_18,2025-12-01,0,3,266,0
user_128,2025-12-01,2,7,101,0
user_323,2025-12-01,1,3,105,0
user_256,2025-12-01,2,9,156,0
user_803,2025-12-01,0,4,516,0
user_966,2025-12-01,2,1,305,0
user_191,2025-12-01,0,4,510,0
user_116,2025-12-01,0,8,87,0
user_618,2025-12-01,5,5,526,0
user_607,2025-12-01,2,1,315,1
user_181,2025-12-01,1,2,200,0
user_302,2025-12-01,0,7,496,0
user_761,2025-12-01,2,7,413,0
user_714,2025-12-01,1,6,396,0
user_894,2025-12-01,0,2,294,0
user_954,2025-12-01,1,9,101,0
user_663,2025-12-01,2,3,168,0
user_518,2025-12-01,1,5,453,0
user_986,2025-12-01,1,5,522,0
user_46,2025-12-01,2,8,178,1
user_911,2025-12-01,2,1,35,0
user_158,2025-12-01,0,2,579,1
user_746,2025-12-01,2,4,87,0
user_172,2025-12-01,2,3,215,0
user_17,2025-12-01,0,8,239,1
user_512,2025-12-01,3,6,521,0
user_49,2025-12-01,0,8,316,0
user_973,2025-12-01,2,8,539,0
user_842,2025-12-01,2,3,181,0
user_516,2025-12-01,1,3,489,0
user_688,2025-12-01,0,2,380,0
user_481,2025-12-01,1,7,397,0
user_284,2025-12-01,0,3,407,0
user_893,2025-12-01,2,1,323,0
user_656,2025-12-01,1,9,99,0
user_226,2025-12-01,0,7,120,1
user_27,2025-12-01,2,3,581,0
user_784,2025-12-01,0,1,532,0
user_438,2025-12-01,1,5,340,0
user_953,2025-12-01,0,6,226,0
user_365,2025-12-01,2,7,474,0
user_230,2025-12-01,1,7,524,0
user_38,2025-12-01,0,9,468,0
user_967,2025-12-01,2,6,455,0
user_375,2025-12-01,2,8,558,0
user_470,2025-12-01,0,6,525,0
user_969,2025-12-01,1,8,474,0
user_852,2025-12-01,2,8,89,0
user_706,2025-12-01,2,5,561,0
user_931,2025-12-01,2,9,555,0
user_195,2025-12-01,0,7,428,0
user_856,2025-12-01,2,3,151,0
user_866,2025-12-01,2,2,94,0
user_504,2025-12-01,2,5,492,0
user_971,2025-12-01,0,4,458,0
user_949,2025-12-01,2,8,200,0
user_580,2025-12-01,0,2,533,0
user_970,2025-12-01,1,3,487,0
user_163,2025-12-01,0,5,452,0
user_704,2025-12-01,1,5,379,0
user_153,2025-12-01,1,4,122,0
user_683,2025-12-01,0,2,453,0
user_896,2025-12-01,0,4,35,0
user_757,2025-12-01,0,3,135,0
user_112,2025-12-01,3,5,445,0
user_227,2025-12-01,2,7,544,1
user_690,2025-12-01,0,1,559,0
user_104,2025-12-01,1,3,154,0
user_422,2025-12-01,0,7,59,0
user_420,2025-12-01,0,8,397,0
user_752,2025-12-01,3,9,54,0
user_587,2025-12-01,1,3,488,0
user_782,2025-12-01,2,2,150,0
user_673,2025-12-01,0,1,559,1
user_120,2025-12-01,3,4,503,0
user_54,2025-12-01,1,7,41,0
user_152,2025-12-01,0,1,405,0
user_404,2025-12-01,0,4,204,1
user_947,2025-12-01,0,7,209,0
user_208,2025-12-01,1,4,460,0
user_659,2025-12-01,0,5,93,0
user_845,2025-12-01,2,4,253,0
user_886,2025-12-01,0,4,59,0
user_9,2025-12-01,1,6,250,0
user_809,2025-12-01,0,4,579,0
user_37,2025-12-01,3,2,546,0
user_453,2025-12-01,1,4,329,0
user_652,2025-12-01,1,7,176,0
user_254,2025-12-01,0,3,470,0
user_304,2025-12-01,3,2,223,0
user_965,2025-12-01,2,5,136,0
user_572,2025-12-01,0,5,33,0
user_624,2025-12-01,1,1,254,0
user_711,2025-12-01,0,5,415,0
user_721,2025-12-01,1,8,200,1
user_263,2025-12-01,0,3,519,1
user_611,2025-12-01,2,6,59,0
user_298,2025-12-01,0,8,390,0
user_415,2025-12-01,0,6,266,0
user_151,2025-12-01,1,9,365,0
user_790,2025-12-01,2,9,551,0
user_624,2025-12-02,0,8,440,0
user_549,2025-12-02,0,1,398,0
user_240,2025-12-02,0,3,315,0
user_484,2025-12-02,3,1,572,0
user_651,2025-12-02,2,7,236,0
user_388,2025-12-02,0,8,598,0
user_972,2025-12-02,1,4,506,0
user_298,2025-12-02,0,1,248,0
user_692,2025-12-02,0,6,567,0
user_202,2025-12-02,5,7,137,0
user_5,2025-12-02,1,7,31,0
user_11,2025-12-02,0,5,179,0
user_159,2025-12-02,1,5,87,0
user_449,2025-12-02,1,7,564,0
user_553,2025-12-02,2,4,596,0
user_235,2025-12-02,1,7,363,0
user_712,2025-12-02,2,1,198,0
user_835,2025-12-02,4,4,547,0
user_242,2025-12-02,0,2,155,0
user_894,2025-12-02,2,3,85,0
user_827,2025-12-02,2,2,471,0
user_230,2025-12-02,0,7,42,0
user_956,2025-12-02,1,1,103,0
user_162,2025-12-02,0,5,195,0
user_939,2025-12-02,1,1,258,0
user_593,2025-12-02,1,8,366,0
user_775,2025-12-02,1,5,181,0
user_964,2025-12-02,2,2,558,0
user_842,2025-12-02,1,2,433,0
user_700,2025-12-02,1,5,276,0
user_464,2025-12-02,2,1,367,0
